41.271832,19.8433348,Start,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.2534103,19.8916617,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.2549976,19.8876027,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.2350364,19.9244842,Petrol Station,Unknown,Unknown,yes,Unknown,Unknown,yes,Unknown,Unknown
41.2353913,19.9183996,Petrol Station,Unknown,Unknown,yes,Unknown,Unknown,yes,Unknown,Unknown
41.2571157,19.8838258,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40.7077026,20.7144439,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.1225085,20.1090871,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.1049499,20.0793261,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.219172,19.9423255,Mobil FilOil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.1312506,20.1364435,Labinoti Oil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.1048767,20.0801933,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.103731,20.0593071,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.1000206,20.4376738,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.3246109,22.7567465,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes
41.0830492,21.0230743,Макпетрол,Makpetrol,24/7,yes,Unknown,yes,yes,Unknown,Unknown
41.0977968,21.0117196,Макпетрол,Makpetrol,Unknown,yes,no,yes,yes,Unknown,Unknown
40.9689465,22.619133,ΕΚΟ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.3747311,21.7146013,Rainca Petrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.3020922,21.6696385,NEW Petrol,Unknown,Unknown,yes,Unknown,yes,yes,Unknown,Unknown
42.3057694,21.6526753,ЈУ Петрол Прешево,Unknown,Unknown,yes,no,yes,yes,no,Unknown
42.4538829,21.7696036,ЈУ петрол,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40.8430625,21.5019712,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40.8186135,21.5408665,Petrol Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.0371043,21.3478549,Окта,Okta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.4612568,21.766494,ЈУ петрол,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.453873,21.7628764,Pompa Agimi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.4233129,21.7391698,Valoni Petrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.4156129,21.7355343,Valoni Petrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.3835184,21.1672688,HIB Petrol,Unknown,24/7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42.3613265,20.829696,Kosova Petrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.8867532,22.4995901,Макпетрол,Makpetrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
41.8877206,22.5101443,Dadi Kompani,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40.8594364,21.4906109,Βενζινάδικο Μήτσου,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40.7250987,22.6072361,BP Tsalonis,Unknown,Unknown,no,Unknown,Unknown,Unknown,Unknown,Unknown
42.0790221,23.039548,Петрол,Petrol,Unknown,yes,Unknown,yes,Unknown,Unknown,yes
41.851198,23.4810657,Газпром,Gazprom,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
